FIPS,county-state,sq_mi,land_sq_mi,water_sq_mi
22037,"East Feliciana, LA",455.69,453.4,2.29
48133,"Eastland, TX",931.9,926.01,5.89
26045,"Eaton, MI",579.02,576.41,2.61
55035,"Eau Claire, WI",645.28,637.64,7.64
13101,"Echols, GA",420.8,404.13,16.67
48135,"Ector, TX",901.68,901.06,0.62
38027,"Eddy, ND",644.23,630.12,14.11
35015,"Eddy, NM",4197.57,4182.02,15.55
17045,"Edgar, IL",624.18,623.55,0.63
37065,"Edgecombe, NC",506.58,505.03,1.55
45037,"Edgefield, SC",506.54,501.89,4.64
21061,"Edmonson, KY",308.01,302.62,5.39
46045,"Edmunds, SD",1151.16,1145.58,5.58
17047,"Edwards, IL",222.66,222.35,0.31
20047,"Edwards, KS",622.1,622.02,0.08
48137,"Edwards, TX",2119.95,2119.75,0.19
13103,"Effingham, GA",482.82,479.41,3.4
17049,"Effingham, IL",479.9,478.7,1.2
6017,"El Dorado, CA",1788.1,1710.85,77.25
8041,"El Paso, CO",2129.56,2126.45,3.11
48141,"El Paso, TX",1014.68,1013.11,1.57
8039,"Elbert, CO",1850.89,1850.78,0.11
13105,"Elbert, GA",374.54,368.76,5.78
20049,"Elk, KS",650.36,647.29,3.07
42047,"Elk, PA",832.23,828.65,3.58
18039,"Elkhart, IN",467.85,463.81,4.03
32007,"Elko, NV",17202.94,17179.03,23.91
21063,"Elliott, KY",235.2,233.96,1.24
20051,"Ellis, KS",900.47,899.97,0.5
40045,"Ellis, OK",1231.84,1229.14,2.7
48139,"Ellis, TX",951.66,939.91,11.75
20053,"Ellsworth, KS",723.44,715.91,7.54
1051,"Elmore, AL",657.21,621.26,35.96
16039,"Elmore, ID",3100.51,3077.57,22.93
13107,"Emanuel, GA",690.33,685.79,4.54
49015,"Emery, UT",4461.54,4451.85,9.69
19063,"Emmet, IA",402.38,395.74,6.63
26047,"Emmet, MI",882.26,467.82,414.44
38029,"Emmons, ND",1554.72,1509.88,44.83
51595,"Emporia, VA",6.97,6.89,0.07
48143,"Erath, TX",1089.8,1086.33,3.47
36029,"Erie, NY",1226.89,1044.21,182.68
39043,"Erie, OH",626.15,254.88,371.27
42049,"Erie, PA",1558.4,801.95,756.46
1053,"Escambia, AL",952.95,947.38,5.57
12033,"Escambia, FL",875.57,662.35,213.21
32009,"Esmeralda, NV",3589,3588.5,0.5
25009,"Essex, MA",828.53,500.67,327.86
