county-state,POPESTIMATE2019
"Wapello County, IA",34969
"Warren County, IA",51466
"Washington County, IA",21965
"Wayne County, IA",6441
"Webster County, IA",35904
"Winnebago County, IA",10354
"Winneshiek County, IA",19991
"Woodbury County, IA",103107
"Worth County, IA",7381
"Wright County, IA",12562
"Kansas, KS",2913314
"Allen County, KS",12369
"Anderson County, KS",7858
"Atchison County, KS",16073
"Barber County, KS",4427
"Barton County, KS",25779
"Bourbon County, KS",14534
"Brown County, KS",9564
"Butler County, KS",66911
"Chase County, KS",2648
"Chautauqua County, KS",3250
"Cherokee County, KS",19939
"Cheyenne County, KS",2657
"Clark County, KS",1994
"Clay County, KS",8002
"Cloud County, KS",8786
"Coffey County, KS",8179
"Comanche County, KS",1700
"Cowley County, KS",34908
"Crawford County, KS",38818
"Decatur County, KS",2827
"Dickinson County, KS",18466
"Doniphan County, KS",7600
"Douglas County, KS",122259
"Edwards County, KS",2798
"Elk County, KS",2530
"Ellis County, KS",28553
"Ellsworth County, KS",6102
"Finney County, KS",36467
"Ford County, KS",33619
"Franklin County, KS",25544
"Geary County, KS",31670
"Gove County, KS",2636
"Graham County, KS",2482
"Grant County, KS",7150
"Gray County, KS",5988
"Greeley County, KS",1232
"Greenwood County, KS",5982
"Hamilton County, KS",2539
"Harper County, KS",5436
"Harvey County, KS",34429
"Haskell County, KS",3968
"Hodgeman County, KS",1794
"Jackson County, KS",13171
"Jefferson County, KS",19043
"Jewell County, KS",2879
"Johnson County, KS",602401
"Kearny County, KS",3838
"Kingman County, KS",7152
"Kiowa County, KS",2475
"Labette County, KS",19618
"Lane County, KS",1535
"Leavenworth County, KS",81758
"Lincoln County, KS",2962
"Linn County, KS",9703
"Logan County, KS",2794
"Lyon County, KS",33195
"McPherson County, KS",28542
"Marion County, KS",11884
"Marshall County, KS",9707
"Meade County, KS",4033
"Miami County, KS",34237
"Mitchell County, KS",5979
"Montgomery County, KS",31829
"Morris County, KS",5620
"Morton County, KS",2587
"Nemaha County, KS",10231
"Neosho County, KS",16007
"Ness County, KS",2750
"Norton County, KS",5361
"Osage County, KS",15949
"Osborne County, KS",3421
"Ottawa County, KS",5704
"Pawnee County, KS",6414
"Phillips County, KS",5234
"Pottawatomie County, KS",24383
"Pratt County, KS",9164
"Rawlins County, KS",2530
"Reno County, KS",61998
"Republic County, KS",4636
"Rice County, KS",9537
"Riley County, KS",74232
"Rooks County, KS",4920
"Rush County, KS",3036
"Russell County, KS",6856
"Saline County, KS",54224
"Scott County, KS",4823
"Sedgwick County, KS",516042
"Seward County, KS",21428
"Shawnee County, KS",176875
"Sheridan County, KS",2521
"Sherman County, KS",5917
"Smith County, KS",3583
"Stafford County, KS",4156
"Stanton County, KS",2006
"Stevens County, KS",5485
"Sumner County, KS",22836
"Thomas County, KS",7777
"Trego County, KS",2803
"Wabaunsee County, KS",6931
"Wallace County, KS",1518
"Washington County, KS",5406
"Wichita County, KS",2119
"Wilson County, KS",8525
"Woodson County, KS",3138
"Wyandotte County, KS",165429
